frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,5,1.79,6.52,7.96,852.5330200195312,464.3607025146485,26.0,26.0,-1,872.1724853515625,827.0078735351562,50.0,50.0,-1
1,4,6.04,28.94,4.89,961.8682556152344,1346.1697387695312,26.0,26.0,-1,822.2452697753906,846.9684906005859,50.0,50.0,-1
2,5,1.39,9.14,10.95,862.2652587890625,576.7829437255859,26.0,26.0,-1,839.1122741699219,958.6812438964844,50.0,50.0,-1
2,4,6.1,28.92,4.91,964.3255157470704,1345.451171875,26.0,26.0,-1,826.7017059326172,848.3108520507812,50.0,50.0,-1
3,7,1.79,6.28,8.08,853.4379806518555,456.5498046875,26.0,26.0,-1,875.2762145996094,830.0484619140625,50.0,50.0,-1
3,6,1.67,17.63,7.98,832.859504699707,877.0636291503906,26.0,26.0,-1,751.7266845703125,908.0632934570312,50.0,50.0,-1
3,5,1.67,10.18,10.75,871.0362854003906,611.8056030273438,26.0,26.0,-1,838.0172729492188,959.2859191894532,50.0,50.0,-1
3,4,6.16,28.91,4.93,967.0554809570312,1344.7359619140625,26.0,26.0,-1,831.1988830566406,849.1075897216797,50.0,50.0,-1
4,7,1.77,6.17,8.12,853.7590179443359,452.7937316894531,26.0,26.0,-1,874.7477111816406,830.8919219970703,50.0,50.0,-1
4,6,1.67,17.52,8.03,833.1334609985352,872.9511108398438,26.0,26.0,-1,753.3276977539062,909.1345520019532,50.0,50.0,-1
4,5,1.64,10.14,10.81,871.4076843261719,610.6874389648438,26.0,26.0,-1,836.8118133544922,960.8919372558594,50.0,50.0,-1
4,4,6.15,28.94,4.95,967.2643585205078,1345.60498046875,26.0,26.0,-1,829.4453277587891,850.9254913330078,50.0,50.0,-1
5,7,1.76,6.04,8.17,854.0564880371094,448.5538177490234,26.0,26.0,-1,875.736785888672,831.9900512695312,50.0,50.0,-1
5,6,1.64,17.4,8.06,832.8002090454102,868.4901123046875,26.0,26.0,-1,753.1028747558594,909.5039215087892,50.0,50.0,-1
5,5,1.63,10.09,10.83,872.3517837524414,608.7688903808594,26.0,26.0,-1,835.78076171875,961.285873413086,50.0,50.0,-1
5,4,6.09,28.98,4.98,965.305404663086,1347.0463256835938,26.0,26.0,-1,824.952392578125,853.3215942382812,50.0,50.0,-1
6,7,1.75,5.93,8.26,854.4042282104492,445.1943817138672,26.0,26.0,-1,876.8272094726562,834.4212188720703,50.0,50.0,-1
6,6,1.64,17.31,8.1,832.9457244873047,864.9057312011719,26.0,26.0,-1,754.4717254638672,910.673797607422,50.0,50.0,-1
6,5,1.28,9.27,11.02,857.7309036254883,581.5325469970703,26.0,26.0,-1,834.6220855712891,962.6976623535156,50.0,50.0,-1
6,4,5.98,28.97,5.0,961.233917236328,1346.5014038085938,26.0,26.0,-1,817.5500335693359,854.5778656005859,50.0,50.0,-1
7,7,1.76,5.81,8.32,854.7383499145508,441.5517120361328,26.0,26.0,-1,878.5590209960938,836.1243286132812,50.0,50.0,-1
