frame,id,3d_x,3d_y,3d_z
1,5,1.79,6.52,7.96
1,4,6.04,28.94,4.89
2,5,1.39,9.14,10.95
2,4,6.1,28.92,4.91
3,7,1.79,6.28,8.08
3,6,1.67,17.63,7.98
3,5,1.67,10.18,10.75
3,4,6.16,28.91,4.93
4,7,1.77,6.17,8.12
4,6,1.67,17.52,8.03
4,5,1.64,10.14,10.81
4,4,6.15,28.94,4.95
5,7,1.76,6.04,8.17
5,6,1.64,17.4,8.06
5,5,1.63,10.09,10.83
5,4,6.09,28.98,4.98
6,7,1.75,5.93,8.26
6,6,1.64,17.31,8.1
6,5,1.28,9.27,11.02
6,4,5.98,28.97,5.0
7,7,1.76,5.81,8.32
7,6,1.63,17.21,8.12
7,5,1.25,9.3,11.04
7,4,5.87,28.98,5.02
8,7,1.74,5.7,8.37
8,6,1.59,17.1,8.15
8,5,1.16,9.25,11.07
8,4,5.79,28.99,5.05
9,7,1.32,5.06,10.74
9,6,1.58,16.99,8.18
9,5,1.09,9.07,11.03
9,4,5.75,28.99,5.08
10,7,2.44,8.59,10.14
10,6,1.58,16.9,8.21
10,5,1.15,8.75,11.0
10,4,5.72,28.99,5.13
11,7,2.6,8.56,10.18
11,6,1.55,16.81,8.25
11,5,1.24,8.42,11.02
11,4,5.68,29.0,5.2
12,7,2.72,8.5,10.22
12,4,5.63,29.0,5.28
13,7,2.79,8.48,10.26
13,5,0.69,4.51,11.75
13,4,5.59,29.0,5.34
14,7,2.88,8.43,10.34
14,5,1.42,7.87,10.89
14,4,5.52,28.99,5.4
15,7,2.93,8.37,10.4
15,5,0.84,4.38,11.54
15,4,5.37,28.94,5.44
16,7,2.99,8.29,10.47
16,5,0.86,4.31,11.52
16,4,5.26,28.98,5.5
17,7,3.04,8.2,10.53
17,5,0.88,4.22,11.52
17,4,5.15,29.02,5.6
18,7,3.07,8.12,10.56
18,5,0.88,4.13,11.53
18,4,5.04,29.03,5.71
19,7,3.14,8.01,10.63
19,5,1.63,7.41,10.83
19,4,4.96,29.01,5.78
