frame,id,3d_x,3d_y,3d_z
1,-1,4.33,25.62,4.69
1,-1,12.15,28.45,4.12
1,-1,6.73,22.45,3.39
2,-1,7.23,28.99,3.08
2,-1,12.25,28.38,4.06
2,-1,4.3,25.54,4.68
2,-1,6.73,22.42,3.41
3,-1,7.15,28.97,3.11
3,-1,4.27,25.47,4.69
3,-1,12.35,28.32,4.0
3,-1,6.73,22.37,3.42
4,-1,7.02,28.93,3.17
4,-1,12.45,28.26,3.96
4,-1,4.24,25.4,4.69
4,-1,6.77,22.34,3.48
5,-1,6.92,28.89,3.23
5,-1,12.53,28.21,3.92
5,-1,4.2,25.33,4.69
5,-1,6.81,22.32,3.51
6,-1,6.82,28.87,3.28
6,-1,12.62,28.14,3.87
6,-1,4.25,25.23,4.68
6,-1,7.0,22.26,3.64
7,-1,6.75,28.88,3.32
7,-1,4.35,25.13,4.64
7,-1,12.72,28.09,3.83
7,-1,7.01,22.22,3.65
8,-1,6.67,28.89,3.36
8,-1,12.8,28.02,3.8
8,-1,4.44,25.08,4.72
8,-1,7.06,22.17,3.62
8,-1,3.96,26.25,3.16
9,-1,6.62,28.93,3.41
9,-1,12.88,27.98,3.76
9,-1,7.25,22.08,3.59
9,-1,3.89,26.11,3.19
10,-1,6.55,28.97,3.45
10,-1,12.96,27.92,3.72
10,-1,7.22,22.05,3.62
11,-1,5.19,24.79,4.44
11,-1,13.04,27.87,3.67
11,-1,7.27,22.01,3.63
12,-1,5.26,24.72,4.11
12,-1,13.11,27.83,3.65
12,-1,7.33,21.97,3.61
13,-1,5.26,24.73,4.19
13,-1,13.17,27.78,3.61
13,-1,7.38,21.94,3.62
14,-1,4.78,29.0,2.94
14,-1,5.54,24.65,4.35
14,-1,13.25,27.71,3.57
14,-1,7.42,21.9,3.64
15,-1,4.8,29.0,2.94
15,-1,6.07,28.9,3.73
15,-1,5.64,24.58,4.31
15,-1,13.31,27.67,3.53
15,-1,7.46,21.86,3.65
16,-1,4.82,28.99,2.94
16,-1,5.96,28.87,3.81
16,-1,5.72,24.52,4.26
16,-1,7.52,21.81,3.65
16,-1,13.38,27.63,3.5
17,-1,4.85,28.98,2.94
17,-1,5.86,28.86,3.86
17,-1,5.8,24.46,4.23
17,-1,7.57,21.78,3.65
17,-1,13.44,27.58,3.48
18,-1,5.78,28.87,3.93
18,-1,4.87,28.97,2.95
18,-1,5.92,24.39,4.16
18,-1,7.6,21.74,3.67
18,-1,13.49,27.54,3.44
19,-1,5.71,28.87,3.97
19,-1,4.89,28.97,2.95
19,-1,6.0,24.33,4.15
19,-1,7.65,21.7,3.67
19,-1,13.55,27.5,3.42
20,-1,5.64,28.89,4.03
20,-1,4.9,28.97,2.96
20,-1,6.07,24.28,4.11
20,-1,7.69,21.68,3.68
20,-1,13.61,27.45,3.38
21,-1,4.91,28.97,2.96
21,-1,5.56,28.91,4.11
21,-1,6.15,24.22,4.09
21,-1,7.74,21.64,3.7
21,-1,13.67,27.41,3.36
22,-1,4.91,28.96,2.97
22,-1,5.48,28.93,4.14
22,-1,6.21,24.16,4.08
22,-1,7.79,21.6,3.7
22,-1,13.73,27.37,3.33
23,-1,4.89,28.97,2.98
23,-1,5.4,28.95,4.19
23,-1,6.26,24.11,4.04
23,-1,7.83,21.57,3.7
23,-1,13.78,27.33,3.32
24,-1,4.88,28.98,2.99
24,-1,5.32,28.97,4.24
24,-1,6.32,24.07,4.05
24,-1,13.83,27.29,3.29
24,-1,7.88,21.54,3.7
25,-1,4.88,28.99,2.99
25,-1,5.25,28.99,4.3
25,-1,6.4,24.02,4.0
25,-1,13.89,27.25,3.25
25,-1,7.92,21.49,3.71
26,-1,4.91,28.99,3.0
27,-1,4.96,28.98,3.01
28,-1,6.6,23.86,3.93
29,-1,6.65,23.82,3.9
29,-1,5.08,28.98,2.99
30,-1,6.7,23.78,3.87
31,-1,6.74,23.74,3.88
32,-1,5.21,29.0,2.96
33,-1,6.88,23.66,3.82
33,-1,8.79,21.75,3.9
33,-1,5.49,28.72,3.05
33,-1,14.23,27.0,3.07
34,-1,5.62,28.75,3.05
34,-1,6.91,23.64,3.8
34,-1,8.89,21.73,3.92
34,-1,14.26,26.93,3.04
35,-1,6.96,23.61,3.79
35,-1,9.0,21.72,3.94
35,-1,14.12,26.74,2.98
