frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,5,6.73,22.45,3.39,969.0785675048828,1061.0709228515625,26.0,26.0,-1,864.6149291992188,583.9536666870117,50.0,50.0,-1
1,4,12.15,28.45,4.12,1201.8721618652344,1307.3850708007812,26.0,26.0,-1,1154.5378112792969,678.3123168945312,50.0,50.0,-1
1,3,4.33,25.62,4.69,882.7818298339844,1180.233642578125,26.0,26.0,-1,662.4073486328125,683.1665191650391,50.0,50.0,-1
2,6,7.23,28.99,3.08,984.25634765625,1339.9391479492188,26.0,26.0,-1,795.38916015625,606.2627944946289,50.0,50.0,-1
2,5,6.73,22.42,3.41,971.7042846679688,1058.9388732910156,26.0,26.0,-1,861.5419616699219,584.3151016235352,50.0,50.0,-1
2,4,12.25,28.38,4.06,1205.7769165039062,1305.0722045898438,26.0,26.0,-1,1162.159637451172,673.6810760498047,50.0,50.0,-1
2,3,4.3,25.54,4.68,881.4836196899414,1177.0735473632812,26.0,26.0,-1,661.8505859375,682.0429077148438,50.0,50.0,-1
3,6,7.15,28.97,3.11,980.997039794922,1338.4441528320312,26.0,26.0,-1,790.7981262207031,608.6863861083984,50.0,50.0,-1
3,5,6.73,22.37,3.42,975.3050994873048,1056.3108215332031,26.0,26.0,-1,858.3087768554688,583.6620330810547,50.0,50.0,-1
3,4,12.35,28.32,4.0,1209.6704711914062,1303.2620849609375,26.0,26.0,-1,1169.4232177734375,669.4553375244141,50.0,50.0,-1
3,3,4.27,25.47,4.69,880.5938110351562,1174.2059326171875,26.0,26.0,-1,660.9131317138672,681.8267974853516,50.0,50.0,-1
4,6,7.02,28.93,3.17,976.3905334472656,1335.8643798828125,26.0,26.0,-1,781.3937377929688,612.2438278198242,50.0,50.0,-1
4,5,6.77,22.34,3.48,977.3478088378906,1054.7484741210938,26.0,26.0,-1,861.4022521972656,587.0467987060547,50.0,50.0,-1
4,4,12.45,28.26,3.96,1213.5850524902344,1301.5433349609375,26.0,26.0,-1,1176.2735900878906,665.7010040283203,50.0,50.0,-1
4,3,4.24,25.4,4.69,879.2410125732422,1171.1492309570312,26.0,26.0,-1,660.9607849121094,681.0221862792969,50.0,50.0,-1
5,6,6.92,28.89,3.23,972.523406982422,1333.5848388671875,26.0,26.0,-1,775.0962829589844,616.3284759521484,50.0,50.0,-1
5,5,6.81,22.32,3.51,979.774871826172,1053.3744201660156,26.0,26.0,-1,863.6144409179688,588.5254898071289,50.0,50.0,-1
5,4,12.53,28.21,3.92,1216.8376159667969,1299.86376953125,26.0,26.0,-1,1182.126434326172,662.8005676269531,50.0,50.0,-1
5,3,4.2,25.33,4.69,877.8594818115234,1168.3182373046875,26.0,26.0,-1,659.9979400634766,680.9248199462891,50.0,50.0,-1
6,6,6.82,28.87,3.28,968.5347747802734,1332.0260620117188,26.0,26.0,-1,769.3002624511719,619.3722381591797,50.0,50.0,-1
6,5,7.0,22.26,3.64,981.8876190185548,1051.6476135253906,26.0,26.0,-1,884.8142395019532,597.7219161987305,50.0,50.0,-1
6,4,12.62,28.14,3.87,1220.75341796875,1297.7838745117188,26.0,26.0,-1,1188.9705505371094,658.8715362548828,50.0,50.0,-1
6,3,4.25,25.23,4.68,878.7862396240234,1164.6129760742188,26.0,26.0,-1,665.6736450195312,679.1615753173828,50.0,50.0,-1
7,6,6.75,28.88,3.32,965.5943145751952,1331.7796630859375,26.0,26.0,-1,764.0394287109375,622.6011276245117,50.0,50.0,-1
7,5,7.01,22.22,3.65,984.0159301757812,1049.6500244140625,26.0,26.0,-1,884.24169921875,597.9452438354492,50.0,50.0,-1
7,4,12.72,28.09,3.83,1224.8394775390625,1295.99658203125,26.0,26.0,-1,1195.987060546875,655.4835357666016,50.0,50.0,-1
7,3,4.35,25.13,4.64,883.6688232421875,1160.4049682617188,26.0,26.0,-1,672.2831878662109,675.5978088378906,50.0,50.0,-1
8,7,3.96,26.25,3.16,857.2031478881836,1217.9302978515625,26.0,26.0,-1,606.0232849121094,586.5081939697266,50.0,50.0,-1
8,6,6.67,28.89,3.36,963.130142211914,1332.0200805664062,26.0,26.0,-1,758.1879577636719,625.2690811157227,50.0,50.0,-1
8,5,7.06,22.17,3.62,986.2915649414062,1047.8478393554688,26.0,26.0,-1,887.4802551269532,595.4895858764648,50.0,50.0,-1
