Filename,Object ID,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y,Confidence,Frame
000001.png,-1,zebrafish,910.3445434570312,541.9168395996094,932.4030456542969,563.9970703125,0.8422071933746338,1
000001.png,-1,zebrafish,834.9445495605469,297.3460235595703,855.9646301269531,318.32269287109375,0.8420957922935486,1
000002.png,-1,zebrafish,906.1257629394531,535.77197265625,928.0147399902344,557.6685485839844,0.8444409966468811,2
000002.png,-1,zebrafish,829.7779998779297,292.66949462890625,850.1974487304688,313.02490234375,0.8377639055252075,2
000003.png,-1,zebrafish,902.7989501953125,528.7768859863281,924.5613403320312,550.63623046875,0.8446967005729675,3
000003.png,-1,zebrafish,825.5509338378906,288.60870361328125,846.0660552978516,309.08375549316406,0.8375288844108582,3
000004.png,-1,zebrafish,900.3250427246094,521.9859313964844,922.1854248046875,543.8833312988281,0.8428076505661011,4
000004.png,-1,zebrafish,821.6710052490234,285.0663146972656,841.9317321777344,305.3397216796875,0.8423494696617126,4
000005.png,-1,zebrafish,897.9754028320312,514.6372680664062,920.0048522949219,536.7582092285156,0.8421563506126404,5
000005.png,-1,zebrafish,817.5727996826172,281.18153381347656,838.0562133789062,301.60240173339844,0.8374380469322205,5
000006.png,-1,zebrafish,896.3652648925781,507.7545166015625,918.3401184082031,529.7310791015625,0.8444494009017944,6
000006.png,-1,zebrafish,814.0499877929688,277.41937255859375,834.3860778808594,297.6700134277344,0.8334091901779175,6
000007.png,-1,zebrafish,894.5752258300781,501.1675109863281,916.3819274902344,523.009521484375,0.8403224945068359,7
000007.png,-1,zebrafish,809.8711853027344,273.6757049560547,830.0890197753906,293.8827362060547,0.8373739123344421,7
000008.png,-1,zebrafish,892.5557250976562,494.425048828125,914.3304443359375,516.2335205078125,0.8417391777038574,8
000008.png,-1,zebrafish,806.6312408447266,270.70123291015625,827.0084228515625,291.0688018798828,0.8405773639678955,8
000009.png,-1,zebrafish,803.2896423339844,267.59388732910156,824.0061798095703,288.252197265625,0.8346081972122192,9
000009.png,-1,zebrafish,890.1431427001953,488.1471862792969,911.8829345703125,509.8752136230469,0.8343313932418823,9
000010.png,-1,zebrafish,800.0050506591797,264.0325927734375,820.7079315185547,284.6189422607422,0.8291481137275696,10
000010.png,-1,zebrafish,886.932373046875,482.6540832519531,908.9114379882812,504.7350769042969,0.8267241716384888,10
000011.png,-1,zebrafish,796.9548950195312,261.21437072753906,817.0806427001953,281.2749786376953,0.8326989412307739,11
000011.png,-1,zebrafish,883.5376129150391,477.42388916015625,904.8966979980469,498.7512817382813,0.8240096569061279,11
000012.png,-1,zebrafish,794.2642822265625,258.61610412597656,814.2459716796875,278.5945739746094,0.8383803367614746,12
