frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,9,20.74,15.16,8.13,1556.3036193847656,760.1127014160156,26.0,26.0,-1,1608.864990234375,784.0274505615234,50.0,50.0,-1
1,8,24.36,22.86,12.02,1671.422607421875,1036.6126098632812,26.0,26.0,-1,1860.1559448242188,1081.4500732421875,50.0,50.0,-1
2,9,20.57,15.2,8.09,1549.7004699707031,761.7430419921875,26.0,26.0,-1,1601.5181274414062,782.2739410400391,50.0,50.0,-1
2,8,24.33,22.91,12.0,1670.4114379882812,1038.3419799804688,26.0,26.0,-1,1859.147399902344,1081.5926208496094,50.0,50.0,-1
3,9,20.43,15.24,8.09,1543.5828552246094,762.9549560546875,26.0,26.0,-1,1595.4103393554688,782.3661956787109,50.0,50.0,-1
3,8,24.3,22.96,11.99,1669.4171142578125,1040.330047607422,26.0,26.0,-1,1858.8053588867188,1082.0579223632812,50.0,50.0,-1
4,9,20.28,15.28,8.06,1537.4097290039062,764.5673828125,26.0,26.0,-1,1589.214599609375,781.2754821777344,50.0,50.0,-1
4,8,24.27,23.0,11.98,1668.3862915039062,1041.69189453125,26.0,26.0,-1,1857.5196533203125,1082.0087280273438,50.0,50.0,-1
5,9,20.12,15.32,8.03,1531.8426513671875,766.0209045410156,26.0,26.0,-1,1581.9434204101562,780.3486175537109,50.0,50.0,-1
5,8,24.25,23.03,11.97,1667.6998291015625,1042.7883605957031,26.0,26.0,-1,1855.8470458984373,1082.0334777832031,50.0,50.0,-1
6,9,19.98,15.35,8.0,1526.1368103027344,767.1641235351562,26.0,26.0,-1,1575.3287963867188,779.1661682128906,50.0,50.0,-1
6,8,24.22,23.07,11.97,1666.6907348632812,1044.2926940917969,26.0,26.0,-1,1855.2215576171875,1082.508544921875,50.0,50.0,-1
7,9,19.84,15.39,7.99,1520.9093017578125,768.7175903320312,26.0,26.0,-1,1568.69970703125,778.6984710693359,50.0,50.0,-1
7,8,24.2,23.11,11.96,1666.07177734375,1045.8484497070312,26.0,26.0,-1,1854.557861328125,1082.9488830566406,50.0,50.0,-1
8,9,19.71,15.43,7.97,1515.7474670410156,770.1552429199219,26.0,26.0,-1,1563.271240234375,778.1661224365234,50.0,50.0,-1
8,8,24.17,23.16,11.96,1664.759033203125,1047.5411376953125,26.0,26.0,-1,1853.7463989257808,1083.5263061523438,50.0,50.0,-1
9,9,19.58,15.47,7.96,1510.4095458984375,771.3180847167969,26.0,26.0,-1,1557.9314575195312,777.6902618408203,50.0,50.0,-1
9,8,24.15,23.19,11.95,1664.2651977539062,1048.613800048828,26.0,26.0,-1,1853.2553100585935,1083.5438537597656,50.0,50.0,-1
10,9,19.45,15.49,7.95,1505.65625,772.412109375,26.0,26.0,-1,1551.4465942382812,777.4138336181641,50.0,50.0,-1
10,8,24.12,23.23,11.94,1663.1825561523438,1050.3174438476562,26.0,26.0,-1,1852.1583862304688,1083.8507080078125,50.0,50.0,-1
11,9,19.34,15.53,7.94,1500.8485412597656,773.7156372070312,26.0,26.0,-1,1546.4075927734375,777.1583709716797,50.0,50.0,-1
