frame,id,3d_x,3d_y,3d_z
1.0,12,6.94,28.58,2.0
1.0,13,3.27,13.3,1.66
1.0,14,14.85,2.29,13.31
1.0,15,4.41,8.72,1.12
2.0,12,6.86,28.59,2.0
2.0,13,3.26,13.16,1.66
2.0,14,14.83,2.18,13.24
2.0,15,4.43,8.57,1.12
3.0,12,6.79,28.59,2.02
3.0,13,3.24,12.98,1.68
3.0,14,14.8,2.1,13.15
3.0,15,4.44,8.43,1.12
3.0,16,6.4,14.56,3.01
4.0,12,6.72,28.59,2.02
4.0,13,3.25,12.84,1.67
4.0,14,14.77,1.97,13.07
4.0,15,4.43,8.27,1.15
4.0,16,6.24,14.39,3.13
5.0,12,6.68,28.66,2.03
5.0,13,3.22,12.68,1.68
5.0,14,14.74,1.89,13.01
5.0,15,4.43,8.12,1.15
5.0,16,6.12,14.19,3.24
6.0,12,6.78,28.96,2.0
6.0,13,3.21,12.53,1.7
6.0,14,14.7,1.78,12.94
6.0,15,4.48,7.99,1.09
6.0,16,6.24,13.75,2.96
7.0,12,6.79,28.97,2.01
7.0,13,3.2,12.38,1.71
7.0,14,14.67,1.68,12.87
7.0,15,4.48,7.85,1.11
7.0,16,6.24,13.75,2.96
8.0,12,6.85,28.96,2.04
8.0,13,3.19,12.26,1.74
8.0,14,14.64,1.6,12.83
8.0,15,4.52,7.72,1.11
8.0,16,6.34,13.48,3.05
9.0,12,7.06,28.92,2.09
9.0,13,3.15,12.12,1.76
9.0,14,14.61,1.51,12.78
9.0,15,4.52,7.58,1.09
9.0,16,6.31,13.21,2.94
10.0,12,7.43,28.8,2.2
10.0,13,3.14,11.98,1.74
10.0,14,14.6,1.44,12.75
10.0,15,4.54,7.46,1.1
10.0,16,6.38,12.96,2.84
11.0,12,7.84,28.69,2.29
11.0,13,3.05,11.85,1.71
11.0,14,14.56,1.34,12.71
11.0,15,4.56,7.33,1.1
11.0,16,6.43,12.71,2.8
12.0,12,8.18,28.61,2.39
12.0,13,2.96,11.72,1.65
12.0,14,14.53,1.24,12.66
12.0,15,4.6,7.19,1.1
12.0,16,6.41,12.45,2.78
13.0,12,8.41,28.58,2.47
13.0,13,2.88,11.55,1.72
13.0,14,14.52,1.16,12.63
13.0,15,4.61,7.08,1.1
13.0,16,6.42,12.19,2.75
14.0,12,8.55,28.57,2.52
14.0,13,2.8,11.31,1.8
14.0,14,14.5,1.09,12.59
14.0,15,4.61,6.96,1.11
14.0,16,6.41,11.94,2.74
15.0,12,8.69,28.6,2.57
15.0,13,2.79,11.05,1.83
15.0,14,14.48,1.02,12.58
15.0,15,4.6,6.83,1.12
15.0,16,6.42,11.7,2.72
16.0,12,8.78,28.64,2.61
16.0,13,2.81,10.75,1.88
16.0,14,14.46,0.92,12.55
16.0,15,4.61,6.72,1.1
16.0,16,6.42,11.45,2.71
17.0,12,8.86,28.7,2.64
17.0,13,2.8,10.53,1.85
17.0,14,14.44,0.85,12.52
17.0,15,4.63,6.61,1.1
17.0,16,6.44,11.19,2.7
18.0,12,8.92,28.76,2.65
18.0,13,2.78,10.3,1.88
18.0,14,14.42,0.78,12.48
18.0,15,4.65,6.49,1.1
18.0,16,6.46,10.94,2.69
19.0,12,8.99,28.82,2.66
19.0,13,2.73,10.05,1.86
19.0,14,14.39,0.72,12.43
19.0,15,4.67,6.39,1.08
19.0,16,6.49,10.72,2.67
20.0,12,9.06,28.87,2.67
20.0,13,2.71,9.82,1.86
20.0,14,14.37,0.68,12.39
20.0,15,4.69,6.29,1.08
20.0,16,6.52,10.47,2.66
21.0,12,9.11,28.92,2.67
21.0,13,2.7,9.59,1.88
21.0,14,14.33,0.61,12.36
21.0,15,4.71,6.18,1.09
21.0,16,6.55,10.23,2.65
22.0,12,9.14,28.98,2.68
22.0,13,2.7,9.37,1.88
22.0,14,14.17,0.65,12.24
22.0,15,4.72,6.07,1.09
22.0,16,6.57,10.03,2.63
23.0,12,9.32,28.51,0.79
23.0,13,2.69,9.17,1.87
23.0,14,13.96,0.81,12.07
23.0,15,4.09,5.15,4.7
23.0,16,6.56,9.83,2.65
24.0,12,9.15,28.98,2.71
24.0,13,2.67,8.95,1.89
24.0,14,13.83,1.05,11.89
24.0,15,4.72,5.87,1.1
24.0,16,6.57,9.64,2.63
25.0,12,8.92,28.93,2.68
25.0,13,2.66,8.75,1.9
25.0,14,13.73,1.25,11.71
25.0,15,4.74,5.79,1.08
25.0,16,6.57,9.42,2.61
26.0,12,8.61,28.9,2.61
26.0,13,2.65,8.57,1.88
26.0,14,13.65,1.4,11.54
26.0,15,4.75,5.69,1.09
26.0,16,6.56,9.23,2.61
27.0,12,8.35,28.85,2.51
27.0,13,2.64,8.36,1.88
27.0,14,13.55,1.48,11.36
27.0,15,4.77,5.6,1.08
27.0,16,6.58,9.03,2.59
28.0,12,8.16,28.83,2.45
28.0,13,2.64,8.16,1.89
28.0,14,13.45,1.53,11.22
28.0,15,4.79,5.51,1.1
28.0,16,6.57,8.83,2.61
29.0,12,7.99,28.82,2.44
29.0,13,2.63,7.98,1.9
29.0,14,13.32,1.55,11.04
29.0,15,4.79,5.42,1.11
29.0,16,6.56,8.64,2.6
30.0,12,7.85,28.83,2.43
30.0,13,2.66,7.8,1.87
30.0,14,13.21,1.57,10.88
30.0,15,4.81,5.33,1.1
30.0,16,6.59,8.46,2.57
31.0,12,7.73,28.83,2.43
31.0,13,2.79,7.63,1.89
31.0,14,13.09,1.58,10.76
31.0,15,4.84,5.25,1.14
31.0,16,6.59,8.27,2.55
32.0,12,7.63,28.87,2.41
32.0,13,2.89,7.47,1.91
32.0,14,12.95,1.6,10.57
32.0,15,5.01,5.18,1.12
32.0,16,6.57,8.1,2.56
33.0,12,7.55,28.91,2.4
33.0,13,2.97,7.28,1.92
33.0,14,12.85,1.6,10.48
33.0,15,5.06,5.09,1.09
33.0,16,6.58,7.92,2.54
34.0,12,7.48,28.96,2.4
34.0,13,3.0,7.09,1.93
34.0,14,12.74,1.62,10.34
34.0,15,5.1,4.95,1.06
34.0,16,6.57,7.76,2.54
35.0,12,7.4,28.97,2.4
35.0,13,3.02,6.88,1.95
35.0,14,12.63,1.63,10.21
35.0,15,5.05,4.79,1.08
35.0,16,6.53,7.58,2.55
36.0,12,7.34,28.97,2.44
36.0,13,3.04,6.64,1.96
36.0,14,12.54,1.65,10.1
36.0,15,5.06,4.61,1.07
36.0,16,6.49,7.43,2.52
37.0,12,7.3,28.97,2.5
37.0,13,3.1,6.43,1.95
37.0,14,12.43,1.72,10.0
37.0,15,5.14,4.46,0.97
37.0,16,6.56,7.26,2.52
38.0,12,7.28,28.97,2.55
38.0,13,3.15,6.24,1.96
38.0,14,12.36,1.83,9.85
38.0,15,5.17,4.33,0.91
38.0,16,6.58,7.1,2.54
39.0,12,7.27,28.97,2.61
39.0,13,3.19,6.06,1.99
39.0,14,12.31,1.93,9.76
39.0,15,5.2,4.15,0.86
39.0,16,6.58,6.93,2.51
40.0,12,7.26,28.96,2.65
40.0,13,3.22,5.83,2.04
40.0,14,12.24,2.03,9.64
40.0,15,5.22,3.98,0.85
40.0,16,6.58,6.78,2.5
41.0,12,7.26,28.96,2.68
41.0,13,3.26,5.67,2.06
41.0,14,12.18,2.12,9.52
41.0,15,5.24,3.84,0.85
41.0,16,6.58,6.62,2.5
42.0,12,7.25,28.95,2.7
42.0,13,3.31,5.45,2.07
42.0,14,12.1,2.17,9.41
42.0,15,5.26,3.7,0.82
42.0,16,6.55,6.47,2.53
43.0,12,7.23,28.96,2.72
43.0,13,3.35,5.3,2.05
43.0,14,12.01,2.21,9.29
43.0,15,5.29,3.58,0.8
43.0,16,6.58,6.32,2.51
44.0,12,7.22,28.96,2.73
44.0,13,3.39,5.12,2.04
44.0,14,11.9,2.25,9.14
44.0,15,5.31,3.42,0.78
44.0,16,6.61,6.19,2.48
45.0,12,7.2,28.96,2.74
45.0,13,3.42,4.92,2.07
45.0,14,11.82,2.28,9.03
45.0,15,5.33,3.27,0.78
45.0,16,6.61,6.04,2.47
46.0,12,7.18,28.95,2.76
46.0,13,3.44,4.78,2.08
46.0,14,11.72,2.33,8.89
46.0,15,5.36,3.16,0.74
46.0,16,6.61,5.91,2.47
47.0,12,7.16,28.94,2.77
47.0,13,3.49,4.61,2.13
47.0,14,11.64,2.38,8.78
47.0,15,5.38,3.04,0.73
47.0,16,6.52,5.81,2.48
48.0,12,7.14,28.94,2.78
48.0,13,3.53,4.46,2.13
48.0,14,11.56,2.45,8.65
48.0,15,5.39,2.93,0.73
48.0,16,6.19,5.71,2.5
49.0,12,7.12,28.93,2.79
49.0,13,3.56,4.3,2.13
49.0,14,11.5,2.52,8.54
49.0,15,5.44,2.81,0.7
49.0,16,5.86,5.8,2.51
50.0,12,7.1,28.92,2.8
50.0,13,3.61,4.17,2.14
50.0,14,11.42,2.6,8.42
50.0,15,5.46,2.68,0.68
50.0,16,5.59,5.97,2.55
51.0,12,7.08,28.93,2.81
51.0,13,3.66,4.02,2.14
51.0,14,11.34,2.65,8.31
51.0,15,5.48,2.57,0.67
51.0,16,5.37,6.15,2.56
52.0,12,7.06,28.93,2.82
52.0,13,3.66,4.02,2.14
52.0,14,11.25,2.7,8.19
52.0,15,5.5,2.45,0.67
52.0,16,5.19,6.3,2.55
53.0,12,6.96,28.85,2.82
53.0,13,3.663684210526316,3.8747368421052624,2.177368421052632
53.0,14,11.17,2.74,8.07
53.0,15,5.52,2.34,0.65
53.0,16,5.02,6.39,2.55
54.0,12,6.68,28.53,2.76
54.0,13,3.6673684210526316,3.7294736842105265,2.214736842105263
54.0,14,11.08,2.79,7.95
54.0,15,5.53,2.23,0.65
54.0,16,4.87,6.47,2.54
55.0,12,6.65,27.45,2.47
55.0,13,3.6710526315789473,3.5842105263157893,2.252105263157895
55.0,14,11.05,2.89,7.88
55.0,15,5.56,2.14,0.62
55.0,16,4.73,6.51,2.53
56.0,12,6.65,27.45,2.47
56.0,13,3.674736842105263,3.4389473684210516,2.2894736842105265
56.0,14,11.14,3.09,7.8
56.0,15,5.59,2.02,0.61
56.0,16,4.59,6.57,2.5
57.0,12,6.84,27.06,2.26
57.0,13,3.678421052631579,3.293684210526316,2.326842105263158
57.0,14,11.29,3.28,7.72
57.0,15,5.63,1.95,0.63
57.0,16,4.47,6.6,2.5
58.0,12,6.99,26.77,2.2
58.0,13,3.682105263157895,3.148421052631579,2.3642105263157895
58.0,14,11.39,3.38,7.66
58.0,15,5.76,1.86,0.62
58.0,16,4.39,6.63,2.49
59.0,12,7.12,26.51,2.17
59.0,13,3.6857894736842107,3.0031578947368414,2.4015789473684213
59.0,14,11.47,3.46,7.57
59.0,15,5.85,1.76,0.61
59.0,16,4.31,6.64,2.41
60.0,12,7.2,26.3,2.13
60.0,13,3.6894736842105265,2.8578947368421055,2.4389473684210525
60.0,14,11.52,3.51,7.5
60.0,15,5.89,1.65,0.61
60.0,16,4.14,6.68,2.29
