frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,18,22.16,29.0,10.08,1621.0718994140625,1315.5420532226562,26.0,26.0,-1,1850.169921875,1163.5178527832031,50.0,50.0,-1
1,17,21.05,28.76,9.57,1581.1128540039062,1309.7044067382812,26.0,26.0,-1,1777.136657714844,1128.5684509277344,50.0,50.0,-1
1,16,18.14,28.53,5.48,1474.2766723632812,1334.3221435546875,26.0,26.0,-1,1597.9657592773438,875.976531982422,50.0,50.0,-1
1,15,1.46,28.9,0.63,712.3392105102539,1385.6512451171875,26.0,26.0,-1,504.10863494873047,571.5934791564941,50.0,50.0,-1
1,14,24.12,28.78,1.29,1761.060791015625,1397.2521362304688,26.0,26.0,-1,1999.4388427734373,610.0380706787109,50.00000000000023,50.0,-1
1,13,20.48,28.97,0.22,1595.696533203125,1414.2240600585938,26.0,26.0,-1,1766.0126953125,538.4554862976074,50.0,50.0,-1
1,12,5.54,25.26,2.93,926.9688415527344,1204.9486083984375,26.0,26.0,-1,839.8240051269531,700.1681671142578,50.0,50.0,-1
1,11,13.74,26.32,0.39,1278.6224060058594,1280.0784301757812,26.0,26.0,-1,1318.0582580566406,547.8091926574707,50.0,50.0,-1
1,10,16.64,29.01,4.02,1411.17236328125,1367.8943481445312,26.0,26.0,-1,1507.9595947265625,788.5553588867188,50.0,50.0,-1
1,9,2.95,28.9,0.91,785.3841857910156,1383.2017211914062,26.0,26.0,-1,601.9305114746094,588.4421272277832,50.0,50.0,-1
2,18,22.13,28.98,10.05,1620.8302001953125,1315.2400512695312,26.0,26.0,-1,1847.7466430664065,1161.6046447753906,50.0,50.0,-1
2,17,21.11,28.76,9.57,1583.2327880859375,1309.7752685546875,26.0,26.0,-1,1780.5501098632808,1128.497039794922,50.0,50.0,-1
2,16,18.12,28.46,5.47,1472.328369140625,1331.0404663085938,26.0,26.0,-1,1598.4853515625,875.0635986328125,50.0,50.0,-1
