frame,id,3d_x,3d_y,3d_z
1.0,9,2.95,28.9,0.91
1.0,10,16.64,29.01,4.02
1.0,11,13.74,26.32,0.39
1.0,12,5.54,25.26,2.93
1.0,13,20.48,28.97,0.22
1.0,14,24.12,28.78,1.29
1.0,15,1.46,28.9,0.63
1.0,16,18.14,28.53,5.48
1.0,17,21.05,28.76,9.57
1.0,18,22.16,29.0,10.08
2.0,9,2.87,28.92,0.95
2.0,10,16.48,28.96,3.89
2.0,11,13.91,26.39,0.38
2.0,12,5.53,25.2,2.97
2.0,13,20.52,28.95,0.24
2.0,14,23.85,28.76,1.31
2.0,15,1.63,28.88,0.66
2.0,16,18.12,28.46,5.47
2.0,17,21.11,28.76,9.57
2.0,18,22.13,28.98,10.05
3.0,9,2.8,28.94,0.97
3.0,10,16.33,28.91,3.78
3.0,11,14.07,26.44,0.36
3.0,12,5.55,25.14,3.03
3.0,13,20.59,28.94,0.29
3.0,14,23.69,28.75,1.33
3.0,15,1.8,28.9,0.67
3.0,16,18.15,28.39,5.42
3.0,17,21.15,28.78,9.56
3.0,18,22.11,28.98,10.03
4.0,9,2.72,28.96,0.99
4.0,10,16.16,28.77,3.65
4.0,11,14.22,26.52,0.36
4.0,12,5.53,25.09,3.06
4.0,13,20.65,28.92,0.3
4.0,14,23.61,28.77,1.36
4.0,15,1.92,28.92,0.68
4.0,16,18.15,28.37,5.33
4.0,17,21.19,28.82,9.55
4.0,18,22.07,28.98,10.0
5.0,9,2.64,28.94,0.99
5.0,10,16.02,28.61,3.54
5.0,11,14.38,26.58,0.35
5.0,12,5.55,25.03,3.08
5.0,13,20.71,28.92,0.3
5.0,14,23.57,28.8,1.38
5.0,15,2.04,28.92,0.66
5.0,16,18.07,28.25,5.25
5.0,17,21.24,28.85,9.54
5.0,18,22.02,29.0,9.97
6.0,9,2.56,28.91,1.01
6.0,10,15.83,28.55,3.44
6.0,11,14.53,26.65,0.36
6.0,12,5.55,24.97,3.12
6.0,13,20.75,28.92,0.31
6.0,14,23.55,28.83,1.39
6.0,15,2.72,28.79,0.49
6.0,16,17.86,28.18,5.11
6.0,17,21.28,28.87,9.52
6.0,18,21.99,28.99,9.97
7.0,9,2.48,28.89,1.03
7.0,10,15.62,28.54,3.31
7.0,11,14.66,26.7,0.36
7.0,12,5.56,24.91,3.19
7.0,13,20.8,28.93,0.33
7.0,14,23.54,28.83,1.41
7.0,15,2.652,28.803,0.507
7.0,16,17.81,28.52,5.02
7.0,17,21.3,28.89,9.49
7.0,18,22.26,28.99,9.8
8.0,9,2.29,28.92,0.99
8.0,10,15.41,28.54,3.18
8.0,11,14.8,26.76,0.35
8.0,12,5.57,24.86,3.23
8.0,13,20.83,28.93,0.33
8.0,14,23.54,28.82,1.41
8.0,15,2.584,28.816,0.524
8.0,16,17.36,28.34,5.04
8.0,17,21.28,28.96,9.45
8.0,18,22.1925,28.99,9.842500000000001
9.0,9,2.29,28.97,1.01
9.0,10,15.2,28.54,3.06
9.0,11,14.92,26.83,0.35
9.0,12,5.56,24.81,3.24
9.0,13,20.92,28.88,0.35
9.0,14,23.54,28.82,1.41
9.0,15,2.516,28.829,0.541
9.0,16,17.22,28.47,5.0
9.0,17,21.29,29.0,9.42
9.0,18,22.125,28.99,9.885000000000002
10.0,9,2.27,28.98,1.03
10.0,10,15.01,28.52,2.95
10.0,11,15.05,26.87,0.34
10.0,12,5.57,24.75,3.28
10.0,13,21.0,28.76,0.36
10.0,14,23.53,28.81,1.4
10.0,15,2.448,28.842,0.558
10.0,16,17.13,28.5,4.94
10.0,17,21.32,29.01,9.4
10.0,18,22.0575,28.99,9.9275
11.0,9,2.25,29.0,1.06
11.0,10,14.79,28.5,2.84
11.0,11,15.17,26.93,0.35
11.0,12,5.56,24.7,3.3
11.0,13,21.1,28.63,0.37
11.0,14,23.53,28.79,1.38
11.0,15,2.3800000000000003,28.855,0.575
11.0,16,17.03,28.56,4.87
11.0,17,21.35,29.0,9.38
11.0,18,21.99,28.99,9.97
12.0,9,2.25,29.03,1.09
12.0,10,14.6,28.49,2.75
12.0,11,15.28,26.98,0.34
12.0,12,5.54,24.65,3.32
12.0,13,21.21,28.54,0.37
12.0,14,23.54,28.77,1.34
12.0,15,2.312,28.868000000000002,0.5920000000000001
12.0,16,16.93,28.63,4.79
12.0,17,21.38,28.96,9.33
12.0,18,22.26,28.99,9.8
13.0,9,2.25,29.05,1.11
13.0,10,14.43,28.48,2.65
13.0,11,15.38,27.04,0.35
13.0,12,5.56,24.6,3.37
13.0,13,21.3,28.46,0.38
13.0,14,23.56,28.74,1.32
