frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,3,2.52,3.28,2.88,832.45458984375,294.83435821533203,26.0,26.0,-1,918.1573791503906,630.2238845825195,50.0,50.0,-1
1,2,4.96,9.66,1.47,908.373794555664,539.9569549560547,26.0,26.0,-1,964.8385009765624,586.2369060516357,50.0,50.0,-1
2,3,2.43,3.17,2.79,826.9877243041992,289.8471984863281,26.0,26.0,-1,915.9845275878906,626.800910949707,50.0,50.0,-1
2,2,4.85,9.52,1.41,904.0702514648438,533.7202606201172,26.0,26.0,-1,960.7771911621094,583.2614059448242,50.0,50.0,-1
3,3,2.34,3.1,2.71,822.8084945678711,285.84622955322266,26.0,26.0,-1,913.1404113769532,623.763744354248,50.0,50.0,-1
3,2,4.78,9.37,1.34,900.680145263672,526.7065582275391,26.0,26.0,-1,958.9203491210938,580.6582660675049,50.0,50.0,-1
4,3,2.27,3.02,2.63,818.8013687133789,282.20301818847656,26.0,26.0,-1,911.2686767578124,621.0203857421875,50.0,50.0,-1
4,2,4.74,9.22,1.28,898.2552337646484,519.9346313476562,26.0,26.0,-1,957.95166015625,577.671236038208,50.0,50.0,-1
5,3,2.21,2.94,2.58,814.8145065307617,278.3919677734375,26.0,26.0,-1,910.0592956542968,619.0047988891602,50.0,50.0,-1
5,2,4.69,9.05,1.23,895.9901275634766,512.6977386474609,26.0,26.0,-1,957.2972717285156,575.8037967681885,50.0,50.0,-1
6,3,2.12,2.86,2.5,811.2180328369141,274.54469299316406,26.0,26.0,-1,907.1969299316406,616.291072845459,50.0,50.0,-1
6,2,4.65,8.89,1.19,894.3526916503906,505.7427978515625,26.0,26.0,-1,956.658233642578,574.0382251739502,50.0,50.0,-1
7,3,2.04,2.79,2.43,806.9801025390625,270.7792205810547,26.0,26.0,-1,904.4086303710938,613.4472045898438,50.0,50.0,-1
7,2,4.6,8.74,1.16,892.4785766601562,499.08851623535156,26.0,26.0,-1,955.4141540527344,572.5018215179443,50.0,50.0,-1
8,3,1.97,2.73,2.37,803.8198318481445,267.8850173950196,26.0,26.0,-1,902.4820861816406,611.2359504699707,50.0,50.0,-1
8,2,4.55,8.59,1.11,890.4430847167968,492.3292846679688,26.0,25.999999999999943,-1,954.1559448242188,570.1949558258057,50.0,50.0,-1
9,3,1.92,2.68,2.31,800.6479110717773,264.9230422973633,26.0,26.0,-1,901.1281433105468,609.0835418701172,50.0,50.0,-1
9,2,4.5,8.44,1.07,888.013038635254,486.0111999511719,26.0,26.0,-1,953.2249755859374,568.6698684692383,50.0,50.0,-1
10,3,1.84,2.6,2.24,797.3564910888672,261.32576751708984,26.0,26.0,-1,898.353515625,606.6277351379395,50.0,50.0,-1
10,2,4.44,8.32,1.06,884.9219055175781,480.694580078125,26.0,26.0,-1,951.816650390625,568.0790424346924,50.0,50.0,-1
11,3,1.78,2.54,2.2,794.0177688598633,258.2446746826172,26.0,26.0,-1,897.1560363769532,604.9860000610352,50.0,50.0,-1
11,2,4.35,8.19,1.04,881.217155456543,475.0875854492188,26.0,26.0,-1,949.361083984375,567.3457050323486,50.0,50.0,-1
12,3,1.73,2.48,2.15,791.255126953125,255.60533905029297,26.0,26.0,-1,895.4944763183594,603.3295669555664,50.0,50.0,-1
12,2,4.25,8.1,1.03,876.3617477416992,471.2963562011719,26.0,26.0,-1,946.149871826172,566.9849834442139,50.0,50.0,-1
13,3,1.67,2.43,2.1,788.5427474975586,252.8797836303711,26.0,26.0,-1,893.7384643554688,601.4015197753906,50.0,50.0,-1
13,2,4.18,7.97,1.0,872.6786956787109,465.80299377441406,26.0,26.0,-1,944.8185119628906,565.8402271270752,50.0,50.0,-1
14,3,1.62,2.37,2.05,785.7487411499023,249.98932647705078,26.0,26.0,-1,892.6996459960938,599.7594947814941,50.0,50.0,-1
14,2,4.15,7.82,0.96,871.4051132202148,459.1270751953125,26.0,26.0,-1,944.4657592773438,563.9143543243408,50.0,50.0,-1
15,3,1.57,2.31,1.99,783.0797348022461,247.00203704833984,26.0,26.0,-1,891.0022277832032,597.6347885131836,50.0,50.0,-1
15,2,4.13,7.62,0.9,869.9359436035156,450.5680389404297,26.0,26.0,-1,945.3677368164062,561.6616115570068,50.0,50.0,-1
16,3,1.52,2.27,1.94,780.5956878662109,244.86507415771484,26.0,26.0,-1,889.4215393066406,595.8099822998047,50.0,50.0,-1
16,2,4.08,7.44,0.84,867.8811111450195,442.4446258544922,26.0,26.0,-1,944.4356994628906,559.2422113418579,50.0,50.0,-1
17,3,1.47,2.22,1.9,778.1193771362305,242.34622192382807,26.0,26.0,-1,888.013153076172,594.264591217041,50.0,50.0,-1
17,2,3.99,7.25,0.8,863.5933837890625,434.16786193847656,26.0,26.0,-1,942.5902709960938,557.6142320632935,50.0,50.0,-1
18,3,1.42,2.18,1.86,775.804557800293,240.0166473388672,26.0,26.0,-1,886.3908386230468,592.8800239562988,50.0,50.0,-1
18,2,3.88,7.1,0.75,860.015495300293,427.2068786621094,26.0,26.0,-1,937.7198181152344,555.3789978027344,50.0,50.0,-1
19,3,1.37,2.13,1.83,773.3809661865234,237.768310546875,26.0,26.0,-1,885.0532836914062,591.7482566833496,50.0,50.0,-1
19,2,3.78,6.95,0.72,855.6271209716797,420.7794189453125,26.0,26.0,-1,934.902374267578,553.9317531585693,50.0,50.0,-1
20,3,1.32,2.09,1.79,771.3067855834961,235.61002349853516,26.0,26.0,-1,883.187744140625,590.1913471221924,50.0,50.0,-1
20,2,3.69,6.77,0.69,851.1652145385742,412.8192138671875,26.0,26.0,-1,932.9695434570312,552.669189453125,50.0,50.0,-1
21,3,1.29,2.03,1.75,769.2123718261719,233.0250244140625,26.0,26.0,-1,882.5631713867188,588.6490631103516,50.0,50.0,-1
21,2,3.6,6.59,0.66,847.7253036499023,405.3440551757813,26.0,26.0,-1,930.9842529296874,551.7503099441528,50.0,50.0,-1
22,3,1.24,1.99,1.71,766.7434234619141,230.7649765014648,26.0,26.0,-1,881.1717224121094,587.3503150939941,50.0,50.0,-1
22,2,3.55,6.4,0.65,844.3361206054688,397.3546905517578,26.0,26.0,-1,930.950714111328,551.1568050384521,50.0,50.0,-1
23,3,1.19,2.01,1.61,764.1676979064941,230.13103485107425,26.0,25.99999999999997,-1,878.6062622070312,583.5713481903076,50.0,50.0,-1
23,2,3.48,6.25,0.61,841.8482131958008,390.6107940673828,26.0,26.0,-1,929.3207092285156,549.7578744888306,50.0,50.0,-1
24,3,1.13,2.14,1.52,760.2113304138184,234.40747070312497,26.0,26.00000000000003,-1,875.1360473632812,580.5801620483398,50.0,50.0,-1
24,2,3.42,6.12,0.58,839.3508758544922,384.7916870117188,26.0,26.0,-1,927.866668701172,548.3489618301392,50.0,50.0,-1
25,3,1.14,2.41,1.4,757.7912673950195,243.98770904541016,26.0,26.0,-1,873.5961608886719,576.7800273895264,50.0,50.0,-1
