frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,2,19.61,28.35,7.92,1510.2294921875,1271.7186279296875,26.0,26.0,-1,1640.6634521484375,936.1328125,50.0,50.0,-1
1,1,18.3,28.71,8.86,1450.429168701172,1274.5018920898438,26.0,26.0,-1,1563.580078125,1000.1675109863279,50.0,50.0,-1
2,2,19.68,28.38,7.91,1513.0809631347656,1272.9238891601562,26.0,26.0,-1,1645.7286376953125,935.736572265625,50.0,50.0,-1
2,1,18.18,28.71,8.86,1445.4506225585938,1274.2289428710938,26.0,26.0,-1,1556.0394287109375,999.9848937988279,50.0,50.0,-1
3,2,19.74,28.42,7.89,1515.5230102539062,1274.5926513671875,26.0,26.0,-1,1650.2639770507812,935.5222778320312,50.0,50.0,-1
3,1,18.06,28.72,8.86,1440.9219970703125,1274.663818359375,26.0,26.0,-1,1547.6177368164062,1000.0525512695312,50.0,50.0,-1
4,2,19.83,28.44,7.88,1519.759735107422,1275.9020385742188,26.0,26.0,-1,1655.16845703125,935.5296020507812,50.0,50.0,-1
4,1,17.94,28.72,8.85,1436.4386901855469,1274.6004638671875,26.0,26.0,-1,1539.5610961914062,999.6965637207031,50.0,50.0,-1
5,2,19.88,28.47,7.89,1521.7126159667969,1276.8563842773438,26.0,26.0,-1,1659.4909057617188,936.7704467773438,50.0,50.0,-1
5,1,17.82,28.74,8.84,1431.3873291015625,1275.1088256835938,26.0,26.0,-1,1532.3729248046875,999.385986328125,50.0,50.0,-1
6,2,19.95,28.49,7.89,1523.774871826172,1277.5311279296875,26.0,26.0,-1,1665.2042236328125,936.7012939453124,50.0,50.0,-1
6,1,17.71,28.76,8.84,1427.5872192382812,1276.0910034179688,26.0,26.0,-1,1524.8328857421875,999.3021850585938,50.0,50.0,-1
7,2,20.02,28.5,7.9,1526.660675048828,1278.00439453125,26.0,26.0,-1,1669.492431640625,938.0880126953124,50.0,50.0,-1
7,1,17.61,28.8,8.8,1423.473388671875,1277.8589477539062,26.0,26.0,-1,1518.3003540039062,997.6862182617188,50.0,50.0,-1
8,2,20.08,28.49,7.92,1528.932159423828,1277.6604614257812,26.0,26.0,-1,1673.4900512695312,939.2111206054688,50.0,50.0,-1
8,1,17.53,28.82,8.75,1420.9288330078125,1279.3133544921875,26.0,26.0,-1,1512.565185546875,994.6747131347656,50.0,50.0,-1
9,2,20.17,28.47,7.93,1532.9727478027344,1276.7176513671875,26.0,26.0,-1,1679.07080078125,939.6101379394532,50.0,50.0,-1
