frame,id,3d_x,3d_y,3d_z
1,2,19.61,28.35,7.92
1,1,18.3,28.71,8.86
2,2,19.68,28.38,7.91
2,1,18.18,28.71,8.86
3,2,19.74,28.42,7.89
3,1,18.06,28.72,8.86
4,2,19.83,28.44,7.88
4,1,17.94,28.72,8.85
5,2,19.88,28.47,7.89
5,1,17.82,28.74,8.84
6,2,19.95,28.49,7.89
6,1,17.71,28.76,8.84
7,2,20.02,28.5,7.9
7,1,17.61,28.8,8.8
8,2,20.08,28.49,7.92
8,1,17.53,28.82,8.75
9,2,20.17,28.47,7.93
9,1,17.45,28.85,8.71
10,2,20.27,28.45,7.95
10,1,17.37,28.86,8.66
11,2,20.36,28.42,7.96
11,1,17.28,28.84,8.61
12,2,20.46,28.42,7.98
12,1,17.18,28.82,8.57
13,2,20.54,28.43,8.0
13,1,17.06,28.79,8.51
14,2,20.62,28.45,8.03
14,1,16.98,28.81,8.43
15,2,20.7,28.49,8.07
15,1,16.94,28.86,8.34
16,2,20.78,28.51,8.1
16,1,16.96,28.97,8.27
17,2,20.85,28.55,8.13
17,1,16.99,28.98,8.22
18,2,20.93,28.57,8.16
18,1,17.1,28.95,8.17
19,2,21.0,28.59,8.2
19,1,17.34,28.88,8.15
20,2,21.07,28.62,8.25
20,1,17.61,28.85,8.11
21,2,21.13,28.64,8.27
21,1,17.78,28.85,8.07
22,2,21.2,28.66,8.32
22,1,17.94,28.87,8.04
23,2,21.25,28.67,8.35
23,1,18.05,28.92,8.03
24,2,21.32,28.69,8.39
24,1,18.15,28.92,8.05
25,2,21.38,28.71,8.42
25,1,18.21,28.92,8.04
26,2,21.44,28.73,8.46
26,1,18.27,28.92,8.04
27,2,21.48,28.75,8.49
27,1,18.33,28.93,8.04
28,2,21.54,28.76,8.53
28,1,18.38,28.93,8.05
29,2,21.6,28.78,8.56
29,1,18.42,28.91,8.06
30,2,21.66,28.81,8.59
30,1,18.48,28.86,8.1
31,2,21.71,28.84,8.64
31,1,18.54,28.83,8.14
32,2,21.67,28.93,8.65
32,1,18.63,28.8,8.17
33,2,21.59,28.96,8.74
33,1,18.7,28.8,8.17
34,2,21.48,28.95,8.86
34,1,18.76,28.82,8.21
35,2,21.3,28.95,8.97
35,1,18.8,28.85,8.24
36,2,21.09,28.92,9.07
36,1,18.85,28.9,8.26
37,2,20.9,28.88,9.13
37,1,18.9,28.92,8.31
38,2,20.75,28.85,9.16
38,1,18.96,28.92,8.37
39,2,20.62,28.83,9.17
39,1,19.0,28.92,8.44
40,2,20.54,28.83,9.19
40,1,19.03,28.93,8.51
41,2,20.46,28.82,9.2
41,1,19.07,28.93,8.58
42,2,20.4,28.83,9.22
42,1,19.1,28.94,8.63
43,2,20.35,28.84,9.24
43,1,19.14,28.95,8.66
44,2,20.3,28.87,9.26
44,1,19.17,28.95,8.69
45,2,20.26,28.9,9.28
45,1,19.21,28.95,8.72
46,2,20.21,28.94,9.29
46,1,19.26,28.95,8.76
47,2,20.17,28.97,9.31
47,1,19.32,28.94,8.79
48,1,19.39,28.94,8.82
52,1,19.53,28.9,9.01
53,2,19.72,28.37,9.76
54,2,19.67,28.32,9.81
55,2,19.6,28.29,9.87
56,2,19.48,28.24,9.94
57,2,19.34,28.26,9.99
58,2,19.26,28.29,10.03
59,2,19.09,28.42,10.04
60,2,19.22,28.99,9.88
61,2,18.91,28.43,10.11
61,1,19.64,28.94,9.55
62,2,18.84,28.45,10.15
62,1,19.78,28.96,9.74
63,2,18.76,28.46,10.2
63,1,19.96,28.96,9.85
64,2,18.7,28.46,10.24
64,1,20.11,28.95,9.95
65,2,18.63,28.46,10.3
65,1,20.25,28.97,10.02
66,2,18.58,28.46,10.34
66,1,20.36,28.96,10.09
67,2,18.53,28.47,10.42
67,1,20.48,28.95,10.17
68,2,18.48,28.48,10.46
68,1,20.6,28.93,10.28
69,2,18.5,28.55,10.49
69,1,20.75,28.91,10.35
70,2,18.62,28.67,10.57
70,1,20.89,28.88,10.4
71,2,18.79,28.78,10.67
